;mean;std;2.5q;25q;50q;75q;97.5q;mc err
v_Intercept_subj(multi-motive).21;-0.206533943;0.262220711;-0.705988504;-0.38543723;-0.206722791;-0.028674343;0.323459042;0.005842536
v_Intercept_subj(multi-motive).22;-0.56875292;0.234536531;-1.037640761;-0.728987436;-0.567200564;-0.412990744;-0.110916196;0.005601553
v_Intercept_subj(multi-motive).23;-0.288522097;0.32598102;-0.9359564;-0.510347484;-0.288680897;-0.071809293;0.349836551;0.007843757
v_Intercept_subj(multi-motive).24;-0.835806126;0.210699872;-1.252535928;-0.976345817;-0.836834654;-0.690193975;-0.427014917;0.004561429
v_Intercept_subj(multi-motive).25;-0.811906486;0.207977085;-1.231219482;-0.948105388;-0.812983157;-0.671727831;-0.404754894;0.005062504
v_Intercept_subj(multi-motive).26;-0.60335529;0.266766566;-1.131648222;-0.784696053;-0.601755009;-0.420179906;-0.083332759;0.005664987
v_Intercept_subj(multi-motive).27;1.457053429;0.463038797;0.574738663;1.134451119;1.443987248;1.760407065;2.387739869;0.010859181
v_Intercept_subj(multi-motive).28;0.493506967;0.299588833;-0.070394354;0.283819825;0.492555774;0.689501211;1.090014709;0.007680933
v_Intercept_subj(multi-motive).29;1.058675448;0.377319302;0.33151454;0.795457022;1.052841568;1.313873155;1.808602328;0.008356822
v_Intercept_subj(multi-motive).30;0.614871953;0.337317485;-0.002738279;0.386707881;0.598389532;0.830804025;1.341099481;0.007613687
v_Intercept_subj(multi-motive).31;-0.470925849;0.210171312;-0.891144176;-0.606638567;-0.469986425;-0.330320224;-0.05766829;0.005931094
v_Intercept_subj(multi-motive).32;-1.122228478;0.211274225;-1.526926373;-1.26666361;-1.123182985;-0.981177554;-0.717153252;0.005455558
v_Intercept_subj(reciprocity).0;1.454095832;0.508503982;0.455744533;1.114524861;1.447893503;1.788614212;2.459562075;0.014009387
v_Intercept_subj(reciprocity).1;-0.84671723;0.22022918;-1.274963996;-0.992622253;-0.849263175;-0.70038644;-0.415729535;0.005021653
v_Intercept_subj(reciprocity).2;-1.78372282;0.240496234;-2.247739445;-1.944470513;-1.780812659;-1.624262061;-1.310896654;0.006343459
v_Intercept_subj(reciprocity).3;-0.726910678;0.226146701;-1.168800748;-0.883816093;-0.725311897;-0.570983625;-0.286875776;0.005580622
v_Intercept_subj(reciprocity).4;0.740640173;0.327969771;0.12189292;0.514685573;0.726452449;0.957692967;1.39634425;0.00816361
v_Intercept_subj(reciprocity).5;0.082959048;0.293979468;-0.48284783;-0.120957107;0.078124064;0.282861803;0.65686273;0.006539831
v_Intercept_subj(reciprocity).6;-0.680298236;0.27238039;-1.222457195;-0.862689612;-0.683925583;-0.495986742;-0.146147472;0.00583199
v_Intercept_subj(reciprocity).7;-1.499179167;0.256394133;-1.994382586;-1.674650292;-1.496710401;-1.326798973;-0.990894886;0.007037442
v_Intercept_subj(reciprocity).8;-0.973757888;0.259151524;-1.470749367;-1.152625581;-0.972704265;-0.801733955;-0.452964523;0.005906697
v_Intercept_subj(reciprocity).9;-0.089132954;0.230748838;-0.536245466;-0.245551025;-0.08821472;0.059359769;0.365033963;0.004925073
v_Intercept_subj(reciprocity).10;0.264835322;0.278914452;-0.263083724;0.076897547;0.258701677;0.448808432;0.826165481;0.00742921
v_Intercept_subj(reciprocity).11;-1.549838947;0.291104891;-2.119968109;-1.748829574;-1.551727172;-1.356741398;-0.975376452;0.008270412
v_Intercept_subj(reciprocity).12;-1.325448926;0.222541559;-1.772440649;-1.475435647;-1.324609248;-1.177260144;-0.888228537;0.005631351
v_Intercept_subj(reciprocity).13;1.495458335;0.483733549;0.595867415;1.160325381;1.482257458;1.815274428;2.471755217;0.013187431
v_Intercept_subj(reciprocity).14;-1.349935061;0.20321994;-1.766509344;-1.479554018;-1.350149615;-1.214168469;-0.959408412;0.004647331
v_Intercept_subj(reciprocity).15;0.136306903;0.304708224;-0.451206338;-0.067394126;0.134400318;0.346350747;0.733646003;0.007313385
v_Intercept_subj(reciprocity).16;0.397957454;0.297608905;-0.173580471;0.193447997;0.390320342;0.594202174;0.999484097;0.006966834
v_Intercept_subj(reciprocity).17;-1.025557034;0.349738957;-1.712705854;-1.254651986;-1.022951648;-0.787493675;-0.357791421;0.008120174
v_Intercept_subj(reciprocity).18;-0.432688826;0.234170646;-0.881637205;-0.589688473;-0.434081904;-0.276023699;0.044031303;0.005252905
v_Intercept_subj(reciprocity).19;-1.326750269;0.211536734;-1.752155173;-1.468214412;-1.324173346;-1.18406207;-0.910203084;0.006138465
v_Intercept_subj(reciprocity).20;-1.266053465;0.218350525;-1.705558847;-1.413063929;-1.260192573;-1.120168696;-0.838902661;0.005714537
v_Intercept_subj(reciprocity).21;-0.282586055;0.249043652;-0.763324874;-0.454259772;-0.285337247;-0.116079877;0.217972226;0.00559753
v_Intercept_subj(reciprocity).22;-0.291124641;0.233720494;-0.748667625;-0.446254696;-0.289309615;-0.140280738;0.167707837;0.005611764
v_Intercept_subj(reciprocity).23;-0.413587531;0.30797992;-1.016879905;-0.621369646;-0.417086934;-0.208051465;0.186149821;0.006218291
v_Intercept_subj(reciprocity).24;-0.486806325;0.215299711;-0.91814111;-0.625292675;-0.484579207;-0.344026848;-0.069879177;0.004944949
v_Intercept_subj(reciprocity).25;-0.598607497;0.21707818;-1.003313707;-0.75015866;-0.598406206;-0.452983428;-0.171301425;0.005174347
v_Intercept_subj(reciprocity).26;-1.091140819;0.2224242;-1.532032606;-1.238848022;-1.091504923;-0.940083978;-0.653912852;0.005517193
v_Intercept_subj(reciprocity).27;-0.255634505;0.258314661;-0.748327712;-0.434139061;-0.255255827;-0.079981744;0.248965244;0.005854881
v_Intercept_subj(reciprocity).28;-0.022383464;0.236826974;-0.490621776;-0.177124172;-0.021470846;0.131505453;0.448853193;0.004585461
v_Intercept_subj(reciprocity).29;0.457823997;0.317628353;-0.182146278;0.253943827;0.458031027;0.671730302;1.098622014;0.007647127
v_Intercept_subj(reciprocity).30;-0.346629161;0.273592822;-0.881713476;-0.525900377;-0.344346865;-0.162374486;0.180291081;0.006030114
v_Intercept_subj(reciprocity).31;-0.450148411;0.229425139;-0.897937561;-0.604390826;-0.449089397;-0.297390559;0.016572247;0.004939802
v_Intercept_subj(reciprocity).32;-0.848459415;0.217175351;-1.276065836;-0.994906292;-0.850443675;-0.70258146;-0.421217864;0.00513676
v_other_poss_loss;0.0052774;0.000233904;0.004824208;0.00512159;0.005278427;0.005427124;0.005758853;1.48E-05
