,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(reciprocity).18,2.02813129457,0.16312940735,1.73700180274,1.91259328114,2.01954013704,2.13588390201,2.37127461853,0.00414154076512
a_subj(reciprocity).19,2.11836246943,0.151194775608,1.84342755356,2.01321802773,2.10957793162,2.21568431825,2.4272728212,0.00388223192475
a_subj(reciprocity).20,1.99859978028,0.146419411814,1.73662774975,1.89224187172,1.99206126286,2.09631252543,2.3097474181,0.00352814088917
a_subj(reciprocity).21,1.84331969658,0.156221799258,1.56695999799,1.73302062619,1.83530199978,1.94235740288,2.17857844917,0.00370865383836
a_subj(reciprocity).22,2.44974405621,0.229886953726,2.02567372899,2.2917296735,2.43577182611,2.59548154821,2.92582939077,0.00842179207808
a_subj(reciprocity).23,1.53509549383,0.144646621711,1.26979799495,1.43669635078,1.52863731126,1.6287497677,1.82926788713,0.0037603130837
a_subj(reciprocity).24,2.32174989037,0.190268317719,1.98619876492,2.18831468506,2.30898166366,2.44385057972,2.72266964461,0.00462429342133
a_subj(reciprocity).25,2.28785491284,0.178880800463,1.95433972119,2.16502578016,2.28374226861,2.40267073625,2.65876203887,0.004422523797
a_subj(reciprocity).26,2.10600207999,0.1563954411,1.81074409429,1.99839771943,2.09863239151,2.20318706265,2.43539618315,0.00412457771506
a_subj(reciprocity).27,1.95256792481,0.172359557504,1.6429805693,1.83199627077,1.9434712151,2.05821924997,2.32026705354,0.00443055604234
a_subj(reciprocity).28,2.4486896809,0.242955303402,2.02180699359,2.27606201502,2.4402536375,2.60090900165,2.96965694929,0.00619010391292
a_subj(reciprocity).29,1.86839826078,0.20410989004,1.51575799695,1.72684388288,1.86212004951,1.99147095743,2.30879135596,0.00555001244772
a_subj(reciprocity).30,1.62932844251,0.13774752254,1.38236351415,1.53523255908,1.62368962366,1.71764424465,1.91988507755,0.00383020744744
a_subj(reciprocity).31,2.05833569426,0.170997339514,1.74767890027,1.93452129404,2.05214518575,2.16731334553,2.42397807568,0.00382643424206
a_subj(reciprocity).32,2.07079576357,0.157635941955,1.78742236424,1.96202822551,2.06316398823,2.16997282731,2.40819318887,0.00394534297519
